title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
Salinui chueok,130 min,Mystery,Joon-ho Bong,Kwang-rim Kim,,8.1,57747 users
The Truman Show,103 min,Drama,Peter Weir,Andrew Niccol,,8.1,605965 users
Harry Potter and the Deathly Hallows: Part 2,130 min,Fantasy,David Yates,J.K. Rowling,,8.1,486732 users
Barry Lyndon,184 min,History,Stanley Kubrick,William Makepeace Thackeray,,8.1,92908 users
Fanny och Alexander,188 min,Drama,Ingmar Bergman,Ingmar Bergman,,8.1,39403 users
Kumonosu-jô,110 min,Drama,Akira Kurosawa,Shinobu Hashimoto,,8.2,27618 users
Dog Day Afternoon,125 min,Drama,Sidney Lumet,P.F. Kluge,,8.1,169541 users
Rocky,119 min,Sport,John G. Avildsen,Sylvester Stallone,,8.1,331582 users
Guardians of the Galaxy,121 min,Sci-Fi,James Gunn,Nicole Perlman,,8.1,569507 users
La haine,98 min,Drama,Mathieu Kassovitz,Mathieu Kassovitz,,8.1,94112 users
Klokslag 12,85 min,Western,Fred Zinnemann,John W. Cunningham,,8.1,74181 users
Yip Man,106 min,Drama,Wilson Yip,Chan Tai-Li,,8.1,145060 users
The King's Speech,118 min,Drama,Tom Hooper,David Seidler,,8.1,454054 users
The Imitation Game,114 min,Thriller,Morten Tyldum,Andrew Hodges,,8.1,366449 users
Per un pugno di dollari,99 min,Western,Sergio Leone,Víctor Andrés Catena,,8.1,130598 users
Pirates of the Caribbean: The Curse of the Black Pearl,143 min,Fantasy,Gore Verbinski,Terry Rossio,,8.1,743796 users
Prisoners,153 min,Mystery,Denis Villeneuve,Aaron Guzikowski,,8.1,332809 users
Notorious,101 min,Romance,Alfred Hitchcock,Ben Hecht,,8.1,68760 users
Tenkû no shiro Rapyuta,124 min,Family,Hayao Miyazaki,Hayao Miyazaki,,8.1,88066 users
The Help,146 min,Drama,Tate Taylor,Kathryn Stockett,,8.1,292574 users
Roman Holiday,118 min,Romance,William Wyler,John Dighton,,8.1,90917 users
Wie is bang voor Virginia Woolf?,131 min,Drama,Mike Nichols,Ernest Lehman,,8.1,51928 users
Papillon,151 min,Drama,Franklin J. Schaffner,Lorenzo Semple Jr.,,8.1,91463 users
Bom yeoreum gaeul gyeoul geurigo bom,103 min,Drama,Ki-duk Kim,Ki-duk Kim,,8.1,57684 users
Belle en het Beest,84 min,Fantasy,Kirk Wise,Roger Allers,,8.0,279127 users
The Night of the Hunter,92 min,Film-Noir,1 more credit,James Agee,,8.1,59998 users
Anatomy of a Murder,160 min,Mystery,Otto Preminger,John D. Voelker,,8.1,42634 users
Before Sunset,80 min,Romance,Richard Linklater,Julie Delpy,,8.1,153493 users
La Strada,108 min,Drama,Federico Fellini,Tullio Pinelli,,8.1,43899 users
Le samouraï,105 min,Mystery,Jean-Pierre Melville,Georges Pellegrin,,8.1,29414 users
The Hustler,134 min,Sport,Robert Rossen,Robert Rossen,,8.1,59820 users
La dolce vita,174 min,Drama,Federico Fellini,Ennio Flaiano,,8.1,45284 users
The Graduate,106 min,Romance,Mike Nichols,Buck Henry,,8.0,200083 users
Fa yeung nin wa,98 min,Romance,Kar Wai Wong,Kar Wai Wong,,8.1,68718 users
Solaris,167 min,Sci-Fi,Andrei Tarkovsky,Fridrikh Gorenshteyn,,8.1,49394 users
Trois couleurs: Rouge,99 min,Romance,Krzysztof Kieslowski,Krzysztof Piesiewicz,,8.1,59388 users
The Killing,85 min,Thriller,Stanley Kubrick,Jim Thompson,,8.1,58300 users
Wat is er toch van Baby Jane terechtgekomen?,134 min,Thriller,Robert Aldrich,Lukas Heller,,8.1,28789 users
